ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu96,0.444296,2.598328,1.497604,1.241969,0.197975,1.859609,0.577672,0.065944,bacteria,acidobacteriota,blastocatellia,blastocatellales,pyrinomonadaceae,pyrinomonas,pyrinomonas methylaliphatogenes
Zotu97,0.561216,1.02054,0.009519,0.012297,3.65442,0.0,0.018837,0.00314,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,methanomassiliicoccaceae,methanomassiliicoccus,candidatus methanomassiliicoccus intestinalis
Zotu98,0.010022,0.009719,0.006346,0.006148,0.009736,0.00952,0.009419,0.00628,archaea,nitrososphaerota,nitrososphaeria,nitrososphaerales,nitrososphaeraceae,candidatus nitrososphaera,candidatus nitrososphaera
Zotu99,0.053449,0.029158,0.0,0.009223,0.012982,0.031734,0.009419,0.141309,bacteria,nitrospirota,nitrospiria,nitrospirales,nitrospiraceae,nitrospira,nitrospira moscoviensis
Zotu100,0.023384,0.019439,0.012692,0.009223,0.006491,0.00952,0.043953,0.395667,bacteria,pseudomonadota,gammaproteobacteria,xanthomonadales,xanthomonadaceae,lysobacter,lysobacter xinjiangensis
Zotu101,0.030065,0.080995,0.36171,0.039964,0.029209,0.136456,0.094186,0.015701,bacteria,actinomycetota,actinomycetes,frankiales,frankiaceae,protofrankia,protofrankia coriariae
Zotu102,0.040087,0.068036,0.247485,0.0,0.133065,0.310993,0.047093,0.021981,bacteria,planctomycetota,planctomycetia,pirellulales,pirellulaceae,blastopirellula,blastopirellula marina
Zotu103,0.023384,0.00648,0.009519,0.015371,0.009736,0.028561,0.043953,0.031402,bacteria,pseudomonadota,gammaproteobacteria,moraxellales,moraxellaceae,moraxella,moraxella osloensis
Zotu104,0.133623,0.025918,0.006346,0.0,0.019473,0.003173,0.040814,0.012561,bacteria,bacillota,bacilli,bacillales,bacillaceae,bacillus,bacillus funiculus
Zotu105,0.043427,0.084235,0.025383,0.636355,0.499805,0.894897,3.53196,0.505574,bacteria,chloroflexota,chloroflexia,kallotenuales,kallotenuaceae,kallotenue,kallotenue papyrolyticum
Zotu106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,gemmatimonadota,gemmatimonadetes,gemmatimonadales,gemmatimonadaceae,roseisolibacter,roseisolibacter agri
Zotu107,0.013362,0.200868,0.314116,0.836177,2.593146,0.403021,0.021977,0.00314,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,methanomassiliicoccaceae,methanomassiliicoccus,candidatus methanomassiliicoccus intestinalis
Zotu108,0.003341,0.0,0.0,0.0,0.003245,0.00952,0.034535,0.270058,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum massiliense
Zotu109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus chilensis
Zotu110,0.033406,0.042118,0.019037,0.461127,0.006491,0.012694,0.015698,0.021981,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,nitrobacteraceae,bradyrhizobium,bradyrhizobium denitrificans
Zotu111,0.016703,0.025918,0.149126,0.153709,0.009736,0.095202,0.037674,0.028262,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu112,0.026725,0.009719,0.034902,0.009223,0.022718,0.028561,0.009419,0.031402,bacteria,pseudomonadota,gammaproteobacteria,nevskiales,nevskiaceae,stagnimonas,stagnimonas aquatica
Zotu113,0.016703,0.016199,0.025383,0.009223,0.006491,0.00952,0.021977,0.025122,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu114,0.013362,0.00648,0.006346,0.009223,0.016227,0.022214,0.009419,0.172712,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga aerilata
Zotu115,0.010022,0.038878,0.015864,0.015371,0.009736,0.206271,0.009419,0.015701,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu116,0.006681,0.0,0.003173,0.0,0.0,0.0,0.006279,0.348563,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter galbus
Zotu117,0.006681,0.00648,0.009519,0.009223,0.016227,0.00952,0.018837,0.106767,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia timonae
Zotu118,0.006681,0.019439,0.006346,0.018445,0.009736,0.006347,0.012558,0.031402,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu119,0.013362,0.016199,0.028556,0.006148,0.045437,0.552171,1.079995,0.169571,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,iamia,iamia majanohamensis
Zotu120,0.006681,0.00324,0.012692,0.006148,0.009736,0.006347,0.012558,0.119328,bacteria,pseudomonadota,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas duriflava
Zotu121,0.003341,0.0,0.0,0.006148,0.061664,0.0,0.040814,0.084786,bacteria,pseudomonadota,betaproteobacteria,rhodocyclales,zoogloeaceae,pseudothauera,pseudothauera nasutitermitis
Zotu122,0.006681,0.00648,0.012692,0.018445,0.0,0.339553,0.398719,0.106767,bacteria,verrucomicrobiota,verrucomicrobiae,limisphaerales,fontisphaeraceae,fontisphaera,fontisphaera persica
Zotu123,1.182562,0.317501,0.02221,0.415014,0.084383,0.184057,0.012558,0.021981,bacteria,chloroflexota,anaerolineae,anaerolineales,anaerolineaceae,thermanaerothrix,thermanaerothrix daxensis
Zotu124,1.613496,1.231128,1.960847,0.285899,0.146047,0.161843,0.269999,0.034542,bacteria,acidobacteriota,blastocatellia,blastocatellales,pyrinomonadaceae,pyrinomonas,pyrinomonas methylaliphatogenes
Zotu125,0.006681,0.00648,0.012692,0.015371,0.022718,0.015867,0.015698,0.540116,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
